concept_id,inject_layer,read_layer,strength,strength_mode,baseline_rate,steered_rate,mean_random_rate,lift_over_random,n_random,probe_accuracy,n_prompts
wasta_001,15,16,0.2,relative,0.666667,1.0,0.5,0.5,3,0.683333,24
wasta_001,15,16,0.1,relative,0.666667,1.0,0.569444,0.430556,3,0.683333,24
wasta_001,15,16,0.02,relative,0.666667,1.0,0.652778,0.347222,3,0.683333,24
wasta_001,15,16,0.05,relative,0.666667,1.0,0.652778,0.347222,3,0.683333,24
muruah_001,9,10,0.2,relative,0.25,0.916667,0.319444,0.597222,3,1.0,24
muruah_001,9,10,0.1,relative,0.25,0.625,0.25,0.375,3,1.0,24
muruah_001,9,10,0.05,relative,0.25,0.375,0.208333,0.166667,3,1.0,24
muruah_001,9,10,0.02,relative,0.25,0.25,0.222222,0.027778,3,1.0,24
diyafa_001,3,4,0.2,relative,0.625,1.0,0.333333,0.666667,3,0.866667,24
diyafa_001,3,4,0.1,relative,0.625,1.0,0.375,0.625,3,0.866667,24
diyafa_001,3,4,0.05,relative,0.625,1.0,0.555556,0.444444,3,0.866667,24
diyafa_001,3,4,0.02,relative,0.625,1.0,0.597222,0.402778,3,0.866667,24
karam_001,9,10,0.2,relative,0.166667,0.75,0.361111,0.388889,3,0.8,24
karam_001,9,10,0.1,relative,0.166667,0.5,0.319444,0.180556,3,0.8,24
karam_001,9,10,0.05,relative,0.166667,0.375,0.222222,0.152778,3,0.8,24
karam_001,9,10,0.02,relative,0.166667,0.25,0.194444,0.055556,3,0.8,24
sharaf_001,19,20,0.1,relative,0.5,1.0,0.472222,0.527778,3,1.0,24
sharaf_001,19,20,0.2,relative,0.5,1.0,0.5,0.5,3,1.0,24
sharaf_001,19,20,0.05,relative,0.5,0.875,0.486111,0.388889,3,1.0,24
sharaf_001,19,20,0.02,relative,0.5,0.666667,0.486111,0.180556,3,1.0,24
sabr_001,7,8,0.2,relative,0.375,1.0,0.402778,0.597222,3,1.0,24
sabr_001,7,8,0.1,relative,0.375,0.875,0.361111,0.513889,3,1.0,24
sabr_001,7,8,0.05,relative,0.375,0.583333,0.347222,0.236111,3,1.0,24
sabr_001,7,8,0.02,relative,0.375,0.5,0.305556,0.194444,3,1.0,24
silat_rahim_001,5,6,0.2,relative,0.25,1.0,0.166667,0.833333,3,0.783333,24
silat_rahim_001,5,6,0.1,relative,0.25,0.833333,0.222222,0.611111,3,0.783333,24
silat_rahim_001,5,6,0.05,relative,0.25,0.625,0.236111,0.388889,3,0.783333,24
silat_rahim_001,5,6,0.02,relative,0.25,0.333333,0.208333,0.125,3,0.783333,24
jiwar_001,7,8,0.2,relative,0.333333,1.0,0.611111,0.388889,3,0.75,24
jiwar_001,7,8,0.1,relative,0.333333,0.875,0.541667,0.333333,3,0.75,24
jiwar_001,7,8,0.05,relative,0.333333,0.625,0.458333,0.166667,3,0.75,24
jiwar_001,7,8,0.02,relative,0.333333,0.458333,0.388889,0.069444,3,0.75,24
shura_001,9,10,0.2,relative,0.625,1.0,0.319444,0.680556,3,0.9,24
shura_001,9,10,0.1,relative,0.625,1.0,0.472222,0.527778,3,0.9,24
shura_001,9,10,0.05,relative,0.625,0.916667,0.472222,0.444444,3,0.9,24
shura_001,9,10,0.02,relative,0.625,0.791667,0.541667,0.25,3,0.9,24
majlis_001,21,22,0.05,relative,0.458333,1.0,0.472222,0.527778,3,0.866667,24
majlis_001,21,22,0.2,relative,0.458333,1.0,0.472222,0.527778,3,0.866667,24
majlis_001,21,22,0.1,relative,0.458333,1.0,0.5,0.5,3,0.866667,24
majlis_001,21,22,0.02,relative,0.458333,0.708333,0.458333,0.25,3,0.866667,24
fazaa_001,7,8,0.2,relative,0.208333,0.958333,0.777778,0.180556,3,1.0,24
fazaa_001,7,8,0.1,relative,0.208333,0.541667,0.486111,0.055556,3,1.0,24
fazaa_001,7,8,0.02,relative,0.208333,0.25,0.25,0.0,3,1.0,24
fazaa_001,7,8,0.05,relative,0.208333,0.25,0.347222,-0.097222,3,1.0,24
hayaa_001,3,4,0.2,relative,0.291667,0.916667,0.083333,0.833333,3,0.95,24
hayaa_001,3,4,0.1,relative,0.291667,0.583333,0.152778,0.430556,3,0.95,24
hayaa_001,3,4,0.05,relative,0.291667,0.416667,0.208333,0.208333,3,0.95,24
hayaa_001,3,4,0.02,relative,0.291667,0.416667,0.222222,0.194444,3,0.95,24
